codigo_ies,anio,nombre_ies,n_evaluados,n_ceros_escrita,global_a,global_c,global_b,pct_ceros_escrita
2211,2024,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR-CARTAGENA,257,21,138.92,141.11,141.75,8.17
2301,2024,UNIDAD CENTRAL DEL VALLE DEL CAUCA-TULUA,843,64,150.37,152.52,153.42,7.59
2302,2024,INSTITUCION UNIVERSITARIA DE ENVIGADO-ENVIGADO,785,33,147.82,148.98,149.49,4.2
2701,2024,INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA -UNICOC-BOGOTÁ D.C.,239,9,148.46,149.54,149.81,3.77
2702,2024,FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD-BOGOTÁ D.C.,626,29,156.62,157.96,158.61,4.63
2704,2024,COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-BOGOTÁ D.C.,246,9,177.68,178.95,179.15,3.66
2707,2024,FUNDACION UNIVERSITARIA JUAN N. CORPAS-BOGOTÁ D.C.,164,13,152.12,154.29,155.72,7.93
2708,2024,UNIVERSIDAD CES-MEDELLIN,717,37,163.01,164.59,165.23,5.16
2709,2024,FUNDACION UNIVERSITARIA SAN MARTIN-BOGOTÁ D.C.,960,72,143.77,145.8,146.63,7.5
2710,2024,FUNDACION UNIVERSITARIA MONSERRATE - UNIMONSERRATE-BOGOTÁ D.C.,280,16,138.34,139.75,140.69,5.71
2711,2024,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,306,18,148.44,149.99,151.12,5.88
2712,2024,FUNDACION UNIVERSITARIA KONRAD LORENZ-BOGOTÁ D.C.,624,15,159.05,159.8,159.94,2.4
2713,2024,FUNDACION UNIVERSITARIA LOS LIBERTADORES-BOGOTÁ D.C.,1007,54,143.11,144.56,145.11,5.36
2715,2024,FUNDACION UNIVERSITARIA DE POPAYAN-POPAYAN,1058,73,131.11,132.81,133.52,6.9
2719,2024,FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM-MEDELLIN,1953,133,143.57,145.42,146.13,6.81
2720,2024,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,588,50,139.26,141.47,142.55,8.5
2721,2024,FUNDACION UNIVERSITARIA MARIA CANO-MEDELLIN,761,46,138.98,140.54,141.28,6.04
2723,2024,FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-BOGOTÁ D.C.,431,29,147.81,149.73,150.2,6.73
2724,2024,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -SAN GIL,310,24,142.72,144.72,146.01,7.74
2725,2024,POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,9746,719,137.41,139.3,140.15,7.38
2727,2024,FUNDACION UNIVERSITARIA-CEIPA-SABANETA,852,35,144.13,145.2,145.83,4.11
2728,2024,FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,7814,566,137.78,139.65,140.48,7.24
2730,2024,FUNDACION ESCUELA COLOMBIANA DE REHABILITACION-BOGOTÁ D.C.,174,7,146.78,147.87,148.31,4.02
2731,2024,FUNDACION UNIVERSITARIA CATOLICA LUMEN GENTIUM-CALI,574,45,133.39,135.41,135.97,7.84
2732,2024,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE-SANTA ROSA DE OSOS,672,54,137.38,139.46,140.31,8.04
2733,2024,FUNDACIÓN UNIVERSITARIA SAN ALFONSO- FUSA-BOGOTÁ D.C.,46,2,141.26,142.7,141.64,4.35
2736,2024,FUNDACION UNIVERSITARIA SEMINARIO BIBLICO DE COLOMBIA- FUSBC-MEDELLIN,33,2,154.7,156.48,157.13,6.06
2737,2024,FUNDACION UNIVERSITARIA DEL AREA ANDINA-PEREIRA,1065,48,140.23,141.36,142.12,4.51
2738,2024,FUNDACION UNIVERSITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE Bogotá -BOGOTÁ D.C.,222,7,148.99,149.84,150.3,3.15
2739,2024,FUNDACION DE ESTUDIOS SUPERIORES UNIVERSITARIOS DE URABA ANTONIO ROLDAN BETANCUR-APARTADO,36,5,124.94,128.31,129.39,13.89
2740,2024,INSTITUCION UNIVERSITARIA COLOMBO AMERICANA - UNICA-BOGOTÁ D.C.,20,1,166.45,167.99,168.74,5.0
2741,2024,FUNDACION DE ESTUDIOS SUPERIORES MONSEÑOR ABRAHAM ESCUDERO MONTOYA- FUNDES-ESPINAL,86,6,133.14,134.93,135.43,6.98
2743,2024,UNIVERSIDAD INTERNACIONAL DEL TRÓPICO AMERICANO,332,26,139.47,141.63,141.99,7.83
2744,2024,INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI-PASTO,1018,123,134.61,137.76,138.74,12.08
2745,2024,FUNDACION UNIVERSITARIA COMPENSAR,1026,58,139.88,141.4,141.76,5.65
2746,2024,FUNDACION UNIVERSITARIA SANITAS-BOGOTÁ D.C.,242,17,151.32,153.35,154.02,7.02
2747,2024,INSTITUCIÓN UNIVERSITARIA VISIÓN DE LAS AMÉRICAS-MEDELLIN,576,40,142.36,144.21,145.04,6.94
2748,2024,FUNDACION UNIVERSITARIA SEMINARIO TEOLOGICO BAUTISTA INTERNACIONAL- UNIBAUTISTA-CALI,60,6,141.12,143.63,145.61,10.0
2749,2024,INSTITUCION UNIVERSITARIA SALAZAR Y HERRERA-MEDELLIN,248,15,144.67,146.24,147.3,6.05
2805,2024,UNIVERSIDAD SIMON BOLIVAR-BARRANQUILLA,2787,246,138.33,140.63,141.62,8.83
2810,2024,"CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA",2198,63,146.7,147.45,147.91,2.87
2811,2024,ESCUELA COLOMBIANA DE INGENIERIAJULIO GARAVITO-BOGOTÁ D.C.,589,23,170.88,172.22,172.25,3.9
2812,2024,UNIVERSIDAD EAN-BOGOTÁ D.C.,1231,43,159.74,160.73,161.4,3.49
2813,2024,UNIVERSIDAD EIA-MEDELLIN,214,4,184.33,184.88,185.58,1.87
2815,2024,CORPORACION UNIVERSITARIA ADVENTISTA-MEDELLIN,193,6,145.98,146.78,147.41,3.11
2818,2024,CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-SANTA ROSA DE CABAL,87,15,134.64,139.06,141.53,17.24
2820,2024,CORPORACION UNIVERSITARIA LASALLISTA-CALDAS,229,6,150.63,151.4,151.51,2.62
2823,2024,CORPORACION UNIVERSITARIA DEL CARIBE - CECAR-SINCELEJO,1670,172,132.83,135.37,136.78,10.3
2825,2024,CORPORACION UNIVERSITARIA RAFAEL NUÑEZ-CARTAGENA,766,112,132.11,135.85,137.22,14.62
